"","species","RCU","RLI","RB1","RB4","RB7","RB12","SP","EX","DI","R2n","CU","LI","B1","B4","B7","B12","C2n"
"1","Carex_aboriginum|IDA|spm00001838",NA,NA,NA,NA,NA,NA,0.246236514933104,0.0272542433333333,0.218982271599771,NA,NA,NA,NA,NA,NA,NA,NA
"2","Carex_abrupta|CAL|spm00002224",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,1.09313075813263,0.0962389666666667,0.996891791465965,90.3719412173807,42,7.6,36.16666667,6163.530303,311.3787879,876.7575758,76
"3","Carex_abscondita|MRY|spm00000676",249.716085180105,0.0407254062865133,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,3.07974136621548,18.5,9,146.2312139,7706.757225,332.7976879,1251.936416,48
"4","Carex_acaulis|CLS|spm00000518",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,0.719083635673926,2.5,11,86.16666667,4537.833333,238.3333333,605.1666667,50
"5","Carex_accrescens|CHM|spm00006413",NA,NA,NA,NA,NA,NA,0.336906089512407,0.0522676,0.284638489512407,NA,NA,NA,NA,NA,NA,NA,NA
"6","Carex_acicularis|NZ|spm00005161",NA,NA,NA,NA,NA,NA,0.141000147606376,0.00554383866666667,0.135456308939709,NA,NA,NA,NA,NA,NA,NA,NA
"7","Carex_acidicola|ALA|spm00000658",0.624152759840681,2.12403143408614,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,4.93371105500327,26,13.5,170.2,7158.2,322.8,1334,50
"8","Carex_acuta|ITA|spm00003084",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.716372610390219,0.0953056,0.621067010390219,90.3719412173807,75,65,58.28952772,7865.463381,306.477755,674.5112936,83.68181818
"9","Carex_acutiformis|TVL|spm00002122",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,90.3719412173807,92.5,35,84.41906653,6557.939424,264.4826216,740.6802383,64.66666667
"10","Carex_adelostoma|ASK|spm00001619",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,90.3719412173807,27.5,12.5,-2.196290572,7769.853168,298.8238022,819.4497682,106
"11","Carex_adrienii|VIE|spm00007857",NA,NA,NA,NA,NA,NA,0.141000147606376,0.00554383866666667,0.135456308939709,NA,NA,NA,NA,NA,NA,NA,NA
"12","Carex_adusta|ABT|spm00002072",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,1.09313075813263,0.0962389666666667,0.996891791465965,90.3719412173807,52.5,9.5,25.23243243,11335.44324,448.8324324,763.227027,78
"13","Carex_aematorrhyncha|CLS|spm00000532",NA,NA,NA,NA,NA,NA,0.641970778943352,0.107713,0.534257778943352,NA,NA,NA,NA,NA,NA,NA,NA
"14","Carex_aequialta|KOR|spm00000320",NA,NA,NA,NA,NA,NA,0.246236514933104,0.0272542433333333,0.218982271599771,NA,NA,NA,NA,NA,NA,NA,NA
"15","Carex_aestivalis|PEN|spm00000681",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,90.3719412173807,42.5,32.5,90,8037.45614,343.2105263,1283.666667,56
"16","Carex_aethiopica|CPP|spm00004365",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,1.20842492193861,82.5,60,158.3043478,2853.391304,192.173913,730.9565217,74
"17","Carex_agastachys|AUT|spm00001197",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,0.521233351577102,70,116,112.5,5075.5,241,1054.5,58
"18","Carex_aggregata|KTY|spm00000685",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.64263444182429,0.0252872,0.61734724182429,90.3719412173807,65,35,114.705036,9386.309353,388.7697842,990.7194245,52
"19","Carex_alajica|CHX|spm00003353",NA,NA,NA,NA,NA,NA,0.246236514933104,0.0272542433333333,0.218982271599771,NA,NA,NA,NA,NA,NA,NA,NA
"20","Carex_alata|ALA|spm00000687",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,1.09313075813263,0.0962389666666667,0.996891791465965,0.389635066254115,85,13,133.6845638,7932.033557,335.557047,1129.912752,74
"21","Carex_alatauensis|AFG|spm00003401",2.80386658213582,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.141000147606376,0.00554383866666667,0.135456308939709,90.3719412173807,10.5,45,11.5,7352.055556,344.3055556,604.8888889,80
"22","Carex_alba|SPA|spm00000584",249.716085180105,1.31333572282751,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.141000147606376,0.00554383866666667,0.135456308939709,90.3719412173807,17.5,7.5,64.382263,7455.330275,300.1070336,912.3363914,54
"23","Carex_albata|JAP|spm00005254",249.716085180105,0.241237820606225,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.336906089512407,0.0522676,0.284638489512407,90.3719412173807,50,7,87.69421488,8525.743802,325.2066116,1855.471074,110
"24","Carex_albicans_var_emmonsii|DEL|spm00000699",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.464106453071108,0.0634811333333333,0.400625319737774,90.3719412173807,27.5,4.5,106.6407186,8665.502994,352.5508982,1092.035928,40
"25","Carex_albida|CAL|spm00003602",NA,NA,NA,NA,NA,NA,0.246236514933104,0.0272542433333333,0.218982271599771,NA,NA,NA,NA,NA,NA,NA,NA
"26","Carex_albolutescens|OKL|spm00000694",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,1.09313075813263,0.0962389666666667,0.996891791465965,90.3719412173807,72.5,9,141.4074074,7498.560847,326.2275132,1237.830688,65
"27","Carex_albonigra|ASK|spm00001621",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,3.29157201465654,20,14,-17.66666667,8734,367.6171171,626.9324324,53
"28","Carex_albula|NZ|NCBI_AUTHOR_Gardner_304",249.716085180105,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,1.16850700432393,0.177291,0.991216004323933,90.3719412173807,12.5,12.5,95.92307692,4256.538462,222.6153846,754.6923077,60
"29","Carex_albursina|KTY|spm00001384",249.716085180105,0.658829332011393,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.918621195318457,0.333996666666667,0.584624528651791,90.3719412173807,36,21,89.82132565,9676.129683,389.3948127,963.0115274,44
"30","Carex_allanii|NZS|spm00002185",NA,NA,NA,NA,NA,NA,0.141000147606376,0.00554383866666667,0.135456308939709,NA,NA,NA,NA,NA,NA,NA,NA
"31","Carex_alligata||NCBI_CS_1228",NA,NA,NA,NA,NA,NA,0.716372610390219,0.0953056,0.621067010390219,NA,NA,NA,NA,NA,NA,NA,NA
"32","Carex_alma|CAL|spm00000703",NA,NA,NA,NA,NA,NA,0.64263444182429,0.0252872,0.61734724182429,NA,NA,NA,NA,NA,NA,NA,NA
"33","Carex_alopecoidea|ILL|spm00001728",0.279034348394594,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.64263444182429,0.0252872,0.61734724182429,90.3719412173807,60,30,58.09444444,11048.73889,433.2277778,772.7722222,50
"34","Carex_alopecuroides|KOR|spm00000321",0.00680311398424636,159.413858300348,820.959885055063,53731.5413424346,1329.50736958685,8843.54089118597,0.246236514933104,0.0272542433333333,0.218982271599771,2.00860812065656,45,25,136.4666667,5927.966667,248.0333333,2345.9,56.5
"35","Carex_alta|CH|spm00002237",NA,NA,NA,NA,NA,NA,0.336906089512407,0.0522676,0.284638489512407,NA,NA,NA,NA,NA,NA,NA,NA
"36","Carex_amgunensis|RU|spm00006721",NA,NA,NA,NA,NA,NA,0.464106453071108,0.0634811333333333,0.400625319737774,NA,NA,NA,NA,NA,NA,NA,NA
