"","V1"
"1",156.45412471962
"2",231.491344413208
"3",184.058785539742
"4",195.926678970774
"5",229.995603515036
"6",248.266828429843
"7",248.266828429843
"8",209.286670625108
"9",218.278755918071
"10",230.838480599246
"11",239.776691458362
"12",241.625335763161
"13",242.308929761152
"14",243.494114616059
"15",247.966022490437
"16",247.966022490437
"17",244.887982253363
"18",248.916783724575
"19",246.898594218348
"20",249.133262191619
"21",247.499180003527
"22",249.394629128132
"23",248.739423127756
"24",250.146621766413
"25",249.652336297313
"26",250.226835920993
"27",250.226835920993
"28",243.145490811359
"29",245.58022487676
"30",247.114814826654
"31",249.310237197765
"32",248.847185689114
"33",250.306679467747
"34",250.078368112143
"35",250.462344348435
"36",250.462344348435
"37",248.906701543244
"38",248.114619367887
"39",244.194793972084
"40",248.8429794942
"41",248.8429794942
"42",237.907843775196
"43",244.086418563591
"44",249.634299648484
"45",248.819417172654
"46",249.53452785338
"47",250.269644156803
"48",250.269644156803
"49",249.308261811136
"50",249.752109243638
"51",250.391711078604
"52",250.249427220286
"53",250.540476586311
"54",250.540476586311
"55",249.673775762093
"56",250.321523732405
"57",250.321523732405
"58",238.738146206231
"59",246.411975246473
"60",244.527917980464
"61",249.571099686752
"62",248.88609758698
"63",250.107968342484
"64",250.107968342484
"65",222.223019186817
"66",232.369339723188
"67",243.281478222162
"68",246.262110260974
"69",248.873295829317
"70",246.683036408508
"71",248.127698721676
"72",250.000004841142
"73",250.000004841142
"74",247.233334081514
"75",248.480479307635
"76",250.017656018581
"77",249.479999362045
"78",250.197929535807
"79",249.806483729136
"80",250.317080624991
"81",250.317080624991
"82",248.421927435094
"83",249.970646072139
"84",249.374978114093
"85",250.150381897279
"86",249.87793949703
"87",250.428112346625
"88",250.428112346625
"89",246.356697431625
"90",248.944943742611
"91",246.984163040372
"92",249.172371217459
"93",249.172371217459
"94",241.161726893476
"95",247.338990436348
"96",243.723991179001
"97",245.976468992002
"98",248.999950779797
"99",248.999950779797
"100",245.752869302977
"101",248.837050623017
"102",248.837050623017
"103",235.903262902546
"104",248.257548761106
"105",248.257548761106
"106",215.517688705345
"107",223.805593963464
"108",243.521252707185
"109",233.362960115969
"110",238.832491705782
"111",240.968072624712
"112",241.798654056351
"113",243.38564396457
"114",245.480624760467
"115",247.446437016013
"116",249.535640782239
"117",248.658155994749
"118",249.951462863946
"119",249.393478985334
"120",249.844878378417
"121",250.083686301915
"122",250.161080755497
"123",250.438171342633
"124",250.198905585914
"125",250.446652483012
"126",250.446652483012
"127",250.410508451172
"128",250.364583378517
"129",249.763268299057
"130",250.289989972183
"131",250.289989972183
"132",247.235252418168
"133",249.372320735201
"134",248.152651164475
"135",248.809365397887
"136",249.400586169838
"137",249.945669249913
"138",250.329888602989
"139",250.50966025147
"140",250.608725978968
"141",250.571770819183
"142",250.638688959245
"143",250.638688959245
"144",250.577398368302
"145",250.432390984497
"146",250.21059470235
"147",249.196864651685
"148",249.401504586397
"149",249.528354871319
"150",250.146445621912
"151",249.637300391374
"152",250.159038923431
"153",250.625407789351
"154",250.625407789351
"155",249.767573821021
"156",249.882409080112
"157",250.31983284163
"158",250.027515413785
"159",250.119692210887
"160",250.196628982528
"161",250.475077825006
"162",250.475077825006
"163",250.407354912144
"164",250.263597642828
"165",250.543919705821
"166",250.543919705821
"167",250.266202943644
"168",249.978060442559
"169",250.55247139319
"170",250.55247139319
"171",249.720232968586
"172",250.398391292758
"173",250.398391292758
"174",249.291242018689
"175",250.339260229803
"176",250.339260229803
"177",244.64835607573
"178",246.499209215649
"179",249.356895142792
"180",247.999892412641
"181",248.410327389396
"182",249.475672655672
"183",250.485018934117
"184",250.485018934117
"185",249.701489249783
"186",249.580853153854
"187",247.466711054773
"188",249.563250130668
"189",250.135438409135
"190",250.579822434682
"191",250.579822434682
"192",250.239012357339
"193",250.051926151786
"194",244.453389061051
"195",247.885234607908
"196",250.057775741308
"197",249.556611028154
"198",249.769720182498
"199",249.829129575101
"200",250.056355032011
"201",250.465398321422
"202",250.465398321422
"203",249.86439976151
"204",250.287020058525
"205",249.920959556613
"206",250.222908578565
"207",250.57016311359
"208",250.57016311359
"209",250.335007093584
"210",250.254221878347
"211",249.967340874673
"212",250.228200150979
"213",250.476653157147
"214",250.389785432353
"215",250.591612658871
"216",250.591612658871
"217",250.436144865724
"218",246.130938136743
"219",248.172783472005
"220",250.260707410541
"221",250.260707410541
"222",246.425401199359
"223",246.766554229698
"224",247.310222973519
"225",248.524223074984
"226",249.992433143281
"227",249.992433143281
"228",247.932258473964
"229",248.486101381563
"230",249.045967271065
"231",249.555211940175
"232",249.996227298738
"233",250.286855528945
"234",250.560584150855
"235",250.560584150855
"236",250.407545475733
"237",250.160646813858
"238",250.560279296061
"239",250.560279296061
"240",249.997125551652
"241",249.24975815179
"242",250.173449614527
"243",250.173449614527
"244",249.081469849475
"245",250.323367033984
"246",249.986417984296
"247",250.360028022549
"248",250.069360408302
"249",250.401524881726
"250",250.401524881726
"251",247.855335555488
"252",248.95789632168
"253",249.536070044482
"254",250.306072442159
"255",250.062623306332
"256",250.448248567576
"257",250.448248567576
"258",249.956373035379
"259",248.782022291421
"260",249.122510860675
"261",249.5855387324
