"","V1"
"1",143.994122767255
"2",212.90138452136
"3",169.765589256274
"4",180.732059447467
"5",211.690855253789
"6",227.855858725258
"7",227.855858725258
"8",193.000541955611
"9",201.193045546737
"10",212.510195983814
"11",220.467425093202
"12",222.094768572039
"13",222.694077598492
"14",223.730705530822
"15",227.596461458046
"16",227.596461458046
"17",224.943493735467
"18",228.414350732922
"19",226.686220312286
"20",228.599716390189
"21",227.20339931914
"22",228.823053452376
"23",228.265890267339
"24",229.462520449365
"25",229.044023761776
"26",229.53043536916
"27",229.53043536916
"28",223.425471289155
"29",225.545583690165
"30",226.872466214057
"31",228.75099807126
"32",228.357403634355
"33",229.597975409278
"34",229.40511004581
"35",229.729472871214
"36",229.729472871214
"37",228.405709350278
"38",227.7246720902
"39",224.339217385828
"40",228.3510768937
"41",228.3510768937
"42",218.817731246955
"43",224.235293054348
"44",229.027380161987
"45",228.334706879714
"46",228.94387755871
"47",229.566654722545
"48",229.566654722545
"49",228.751551128299
"50",229.128576004018
"51",229.669835578581
"52",229.549758693669
"53",229.795382488531
"54",229.795382488531
"55",229.062152875236
"56",229.610525421236
"57",229.610525421236
"58",219.551795341618
"59",226.248243458225
"60",224.622911854677
"61",228.97354532932
"62",228.391435842869
"63",229.429772160718
"64",229.429772160718
"65",204.768612937827
"66",213.875225554027
"67",223.541254163213
"68",226.136595257376
"69",228.377072346067
"70",226.50027329811
"71",227.742006788077
"72",229.338229406724
"73",229.338229406724
"74",226.974622133474
"75",228.044616319893
"76",229.353203192929
"77",228.897589208092
"78",229.505968223447
"79",229.174807703436
"80",229.606769243617
"81",229.606769243617
"82",227.994594239168
"83",229.313317652793
"84",228.808284805911
"85",229.465705395379
"86",229.235306494754
"87",229.700576289707
"88",229.700576289707
"89",226.21833721109
"90",228.438482696002
"91",226.759991783587
"92",228.633167878965
"93",228.633167878965
"94",221.687155383131
"95",227.054033434045
"96",223.930630172158
"97",225.889039378613
"98",228.485605045515
"99",228.485605045515
"100",225.695576169163
"101",228.345992289531
"102",228.345992289531
"103",217.008730415767
"104",227.847864864439
"105",227.847864864439
"106",198.68584002887
"107",206.191882993024
"108",223.711186024642
"109",214.776331572085
"110",219.633798817187
"111",221.517416331284
"112",222.246618618855
"113",223.635854191623
"114",225.458966102206
"115",227.157730687622
"116",228.943326508241
"117",228.196914302084
"118",229.297035976258
"119",228.823994565683
"120",229.207339132858
"121",229.40963854222
"122",229.475107124119
"123",229.709068716028
"124",229.507088205586
"125",229.716228223875
"126",229.716228223875
"127",229.685711538183
"128",229.646917740312
"129",229.13815883688
"130",229.583862786892
"131",229.583862786892
"132",226.976168471832
"133",228.80401153148
"134",227.764374962911
"135",228.326207701974
"136",228.830011108028
"137",229.292729981521
"138",229.617725150014
"139",229.769429582907
"140",229.852903343799
"141",229.821776575502
"142",229.878140705781
"143",229.878140705781
"144",229.826506389493
"145",229.704188705235
"146",229.516689342268
"147",228.656705763697
"148",228.830878720354
"149",228.938724720215
"150",229.46237124633
"151",229.031260247456
"152",229.473162247824
"153",229.866955359237
"154",229.866955359237
"155",229.141821319535
"156",229.239188316549
"157",229.609095974633
"158",229.362092516258
"159",229.440103293007
"160",229.505157815833
"161",229.740218661527
"162",229.740218661527
"163",229.683048356819
"164",229.561734322112
"165",229.79828553207
"166",229.79828553207
"167",229.56374382024
"168",229.319982991785
"169",229.805495296435
"170",229.805495296435
"171",229.1014928489
"172",229.675477985592
"173",229.675477985592
"174",228.736564741776
