original.name	chr2n
Carex_perplexa||spm00004409	132
Carex_traiziscana|JAP|spm00006095	62
Carex_pallens|FIN|spm00004388	54
Carex_fretalis|NZ|NCBI_AUTHOR_Gardner_326	62
Carex_rainbowii|NAT|NCBI_Martin_Bravo_2799	58
Carex_paniculata_ssp_calderae|CNY|NCBI_JACA_8893	68
Carex_oronensis|MAI|spm00001898	72.2
Carex_troodi|CYP|spm00004356	68.125
Carex_pseudofoetida_ssp_pseudofoetida|CHQ|spm00005820	62
Carex_sectoides|NZ|NCBI_AUTHOR_Gardner_306	66
Carex_reuteriana_ssp_reuteriana|SPA|spm00003202	74
Carex_insignis|EHM|spm00005755	48
Carex_okamotoi|KOR|NCBI_Hoshino_2100	12
Carex_reptabunda|CHX|spm00006415	44
Carex_trautvetteriana||spm00005863	56.5
Carex_ventosa|NZ|NCBI_AUTHOR_Gardner_312	63
Carex_chathamica|NZ|NCBI_AUTHOR_Gardner_305	64
Carex_kermadecensis|NZ|NCBI_AUTHOR_Gardner_287	60
Carex_cercostachys|EHM|spm00005901	64
Carex_thornei|FLA|spm00000659	50
Carex_grallatoria_ssp_grallatoria|JAP|spm00006651	17.66666667
Carex_torreyi|COL|spm00001708	64
Carex_muricata_ssp_ashokae|IRN|spm00004581	58
Carex_schweickerdtii|NAT|spm00007770	60
Carex_xiphium|KOR|NCBI_Jung_2387	56
Carex_pediformis_ssp_pediformis|CHC|spm00003390	70
Carex_killickii|NAT|spm00007793	71.66666667
Carex_macroprophylla|CHC|spm00003400	60
Carex_rhizina_ssp_rhizina|AUT|spm00002182	70
Carex_latebracteata|ARK|spm00001383	98
Carex_delicata|TZK|spm00003358	58
Carex_burkei|CPP|spm00007785	69.33333333
Carex_quadriflora|KOR|spm00000347	46
Carex_paxii|JAP|spm00006668	76
Carex_argunensis|KHA|spm00006472	42
Carex_edwardsiana|TEX|spm00002142	52
Carex_coriophora|CHQ|spm00005694	56
Carex_bonanzensis|ASK|spm00001820	55
Carex_lainzii|SPA|spm00004371	68
Carex_calcifugens|FLA|spm00000668	52
Carex_parvula||spm00003656	64
Carex_waponahkikensis|MAI|spm00002632	68
Carex_lasiocarpa_var_lasiocarpa|SPA|spm00000576	74.63636364
Carex_marina_ssp_marina|MAN|spm00001746	61.71428571
Carex_rufulistolon|EHM|spm00005833	46
Carex_perdensa|NAT|spm00003218	30
Carex_ensifolia|CHQ|spm00005713	80
Carex_bonatiana|EHM|spm00005907	54
Carex_laxa|ASK|spm00001643	58
Carex_lithophila|KOR|spm00000328	62
Carex_ouachitana|WAS|spm00001538	52
Carex_saximontana|COL|spm00001727	64
Carex_sedakowii||spm00005844	56
Carex_fritschii|HUN|spm00002174	30
Carex_petricosa_var_petricosa|NWT|NCBI_Gillespie_1850	40
Carex_curatorum||spm00002016	62
Carex_asynchrona|MXE|spm00000257	52
Carex_rorulenta|BAL|spm00003474	49
Carex_ledebouriana|MAG|spm00003592	54
Carex_mollissima||NCBI_AUTHOR_Shekhovtsov_618	80
Carex_laeviconica|TEN|spm00001887	110
Carex_curaica|KRA|spm00002337	64
Carex_supina_var_spaniocarpa|ASK|spm00001794	43.66666667
Carex_hartmanii|GER|spm00008007	60
