original.name;LI.length.mp
Carex_abrupta|CAL|spm00002224;7.6
Carex_abscondita|MRY|spm00000676;9
Carex_acaulis|CLS|spm00000518;11
Carex_acidicola|ALA|spm00000658;13.5
Carex_acuta|ITA|spm00003084;65
Carex_acutiformis|TVL|spm00002122;35
Carex_adelostoma|ASK|spm00001619;12.5
Carex_adusta|ABT|spm00002072;9.5
Carex_aestivalis|PEN|spm00000681;32.5
Carex_aethiopica|CPP|spm00004365;60
Carex_agastachys|AUT|spm00001197;116
Carex_aggregata|KTY|spm00000685;35
Carex_alata|ALA|spm00000687;13
Carex_alatauensis|AFG|spm00003401;45
Carex_alba|SPA|spm00000584;7.5
Carex_albata|JAP|spm00005254;7
Carex_albicans_var_emmonsii|DEL|spm00000699;4.5
Carex_albolutescens|OKL|spm00000694;9
Carex_albonigra|ASK|spm00001621;14
Carex_albula|NZ|NCBI_AUTHOR_Gardner_304;12.5
Carex_albursina|KTY|spm00001384;21
Carex_alopecoidea|ILL|spm00001728;30
Carex_alopecuroides|KOR|spm00000321;25
Carex_amphibola|ALA|spm00000654;15.5
Carex_angustata|CAL|spm00000713;47.5
Carex_anthoxanthea|WAS|spm00001568;20
Carex_aperta|BRC|spm00001842;25
Carex_appendiculata|KHA|spm00006476;20
Carex_appressa_var_appressa|NSW|spm00002189;5.5
Carex_appropinquata|GER|spm00002248;5.5
Carex_aquatilis_var_aquatilis|NFL|spm00001485;62.5
Carex_aquatilis_var_dives||NCBI_Janeway_2155;80
Carex_aquatilis_var_minor||NCBI_Bennett_893;30
Carex_arcta|ASK|spm00000710;7.5
Carex_arctata|WIS|spm00000731;52.5
Carex_arctiformis|BRC|spm00001851;8
Carex_arenaria|DEL|spm00000733;11
Carex_argunensis|KHA|spm00006472;0
Carex_argyrantha|MRY|spm00000734;11.5
Carex_arisanensis|TAI|spm00006420;8
Carex_arnellii|SWE|spm00003783;27.5
Carex_assiniboinensis|MAN|spm00000722;17.5
Carex_astricta||spm00004420;0
Carex_asturica|SPA|spm00004385;15
Carex_asynchrona|MXE|spm00000257;17
Carex_aterrima_ssp_aterrima|CZE|spm00007989;12
Carex_atherodes|BRC|spm00001849;52.5
Carex_athrostachya|CAL|spm00000727;8.5
Carex_atlantica_ssp_atlantica|FLA|spm00000718;8.1
Carex_atrata|AUT|spm00007990;17.5
Carex_atratiformis|ABT|spm00001751;17.5
Carex_atrofusca|ASK|spm00001654;13.5
Carex_aucklandica||spm00004410;0
Carex_augustinowiczii|SAK|spm00007995;25
Carex_aurea||spm00000767;12
Carex_austroalpina|SPA|spm00000535;17.5
Carex_austrocaroliniana|NCA|spm00001729;9.5
Carex_austrocompacta|TDC|spm00005930;0
Carex_baccans||spm00007862;4.5
Carex_badilloi|NAT|spm00003223;37
