original.name;Culm.length.mp
Carex_abrupta|CAL|spm00002224;42
Carex_abscondita|MRY|spm00000676;18.5
Carex_acaulis|CLS|spm00000518;2.5
Carex_acidicola|ALA|spm00000658;26
Carex_acuta|ITA|spm00003084;75
Carex_acutiformis|TVL|spm00002122;92.5
Carex_adelostoma|ASK|spm00001619;27.5
Carex_adusta|ABT|spm00002072;52.5
Carex_aestivalis|PEN|spm00000681;42.5
Carex_aethiopica|CPP|spm00004365;82.5
Carex_agastachys|AUT|spm00001197;70
Carex_aggregata|KTY|spm00000685;65
Carex_alata|ALA|spm00000687;85
Carex_alatauensis|AFG|spm00003401;10.5
Carex_alba|SPA|spm00000584;17.5
Carex_albata|JAP|spm00005254;50
Carex_albicans_var_emmonsii|DEL|spm00000699;27.5
Carex_albolutescens|OKL|spm00000694;72.5
Carex_albonigra|ASK|spm00001621;20
Carex_albula|NZ|NCBI_AUTHOR_Gardner_304;12.5
Carex_albursina|KTY|spm00001384;36
Carex_alopecoidea|ILL|spm00001728;60
Carex_alopecuroides|KOR|spm00000321;45
Carex_amphibola|ALA|spm00000654;47.5
Carex_angustata|CAL|spm00000713;70
Carex_annectens|ALA|spm00000730;52.5
Carex_anthoxanthea|WAS|spm00001568;22.5
Carex_aperta|BRC|spm00001842;52.5
Carex_appalachica|MAS|spm00000721;40
Carex_appendiculata|KHA|spm00006476;52.5
Carex_appressa_var_appressa|NSW|spm00002189;52.5
Carex_appropinquata|GER|spm00002248;55
Carex_aquatilis_var_aquatilis|NFL|spm00001485;85
Carex_aquatilis_var_dives||NCBI_Janeway_2155;90
Carex_aquatilis_var_minor||NCBI_Bennett_893;65
Carex_arcta|ASK|spm00000710;47.5
Carex_arctata|WIS|spm00000731;60
Carex_arctiformis|BRC|spm00001851;35
Carex_arenaria|DEL|spm00000733;37.5
Carex_argunensis|KHA|spm00006472;17.5
Carex_argyrantha|MRY|spm00000734;65
Carex_arisanensis|TAI|spm00006420;27.5
Carex_arnellii|SWE|spm00003783;57.5
Carex_assiniboinensis|MAN|spm00000722;55
Carex_astricta||spm00004420;20
Carex_asturica|SPA|spm00004385;35
Carex_asynchrona|MXE|spm00000257;54
Carex_aterrima_ssp_aterrima|CZE|spm00007989;25
Carex_atherodes|BRC|spm00001849;80
Carex_athrostachya|CAL|spm00000727;50
Carex_atlantica_ssp_atlantica|FLA|spm00000718;60
Carex_atrata|AUT|spm00007990;35
Carex_atratiformis|ABT|spm00001751;45
Carex_atrofusca|ASK|spm00001654;17.5
Carex_aucklandica||spm00004410;27.5
Carex_augustinowiczii|SAK|spm00007995;40
Carex_aurea||spm00000767;22.5
Carex_austroalpina|SPA|spm00000535;65
Carex_austrocaroliniana|NCA|spm00001729;35
Carex_austrocompacta|TDC|spm00005930;25
Carex_baccans||spm00007862;115
Carex_backii|BRC|spm00002007;13.2
Carex_badilloi|NAT|spm00003223;56.5
Carex_baldensis|SWI|spm00005242;20
Carex_banksiana|NZ|spm00005085;22.5
Carex_bebbii|MAN|spm00000745;55
Carex_bella|COL|spm00001721;40
Carex_bequaertii_ssp_bequaertii|KEN|spm00000176;130
Carex_berggrenii|NZ|NCBI_AUTHOR_Gardner_327;2.5
Carex_bicknellii|INI|spm00000744;75
Carex_bicolor|ASK|spm00001622;12.5
Carex_bigelowii_ssp_bigelowii|QUE|spm00006479;30
Carex_bigelowii_ssp_lugens|ASK|spm00000742;37.5
Carex_binervis|FRA|spm00004357;90
Carex_blanda|TEN|spm00001819;33.5
Carex_blepharicarpa|KOR|spm00000323;32.5
Carex_bohemica|FIN|spm00002276;17.5
Carex_bolanderi|CAL|spm00001414;73
Carex_bonanzensis|ASK|spm00001820;35
Carex_bonatiana|EHM|spm00005907;25.5
Carex_boottiana|JAP|NCBI_Waterway_3657;55
Carex_borbonica|REU|spm00004353;37
Carex_borealipolaris|MNT|spm00001831;22.5
Carex_boryana|REU|spm00004377;119
Carex_bostrychostigma|JAP|spm00003784;35
Carex_brachyanthera|NWG|spm00007129;45
Carex_brachystachys|SPA|NCBI_HeRB_1939;22.5
Carex_brevicollis|TCS|spm00003478;40
Carex_breviculmis_var_breviculmis|NZ|NCBI_AUTHOR_Gardner_314;24
Carex_brevior|BRC|spm00001823;67.5
Carex_breviscapa|VIE|spm00007865;15
Carex_brizoides|GER|spm00005239;35
Carex_bromoides|WIS|spm00002284;55.5
Carex_brownii|JAP|NCBI_Waterway_3655;45
Carex_brunnea|CHC|spm00007866;55
Carex_brunnescens_ssp_brunnescens|FIN|spm00005972;52.5
Carex_brunnescens_ssp_sphaerostachya|ONT|spm00005986;52.5
Carex_brysonii|ALA|spm00000655;42.5
Carex_buchananii|NZ|NCBI_AUTHOR_Gardner_316;23.5
